articleLink,imageLink,adultScore,isRacyContent,isAdultContent,racyScore,accentColor,dominantColorBackground,dominantColorForeground,isBwImg,clipArtType,lineDrawingType,format,height,width
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,0.017394132912158966,False,False,0.025365913286805153,704A18,Yellow,Yellow,False,0,0,Jpeg,427,640
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,https://www.latimes.com/resizer/1kSc1mUFSWgUhMhPmfdM9fcEm_A=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/LFTO4AHTEJEE7GVQOZYTZENLRA.jpg,0.13363343477249146,False,False,0.10517745465040207,9F9A2C,Brown,White,False,0,0,Jpeg,675,1200
https://www.msn.com/en-us/news/politics/if-amazon-can-raise-the-minimum-wage-why-can-e2-80-99t-congress/ar-BBOgXkq,https://cdn.images2.rollcall.com/image/27cf5635a9671932facf9eaaf28bb860456d2c0d8fa9d892971ca7752284a2a3f694222a45edf4131ed6bf50844a038a/author/2018/10/GettyImages-954323434.jpg,0.023933062329888344,False,False,0.09715060889720917,04457C,Brown,Black,False,0,0,Jpeg,535,1024
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,https://www.imangoss.net/wp-content/uploads/2018/10/Intcrown-wireless-earbuds-amazon-696x696.jpg,0.009657618589699268,False,False,0.018706046044826508,983350,White,Black,False,0,0,Jpeg,696,696
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NASDAQ&Symbol=AMZN,0.009564653970301151,False,False,0.012600556947290897,9B3130,Grey,Grey,False,1,0,Png,350,650
https://beebom.com/amazon-great-indian-festival-best-gaming-mice-deals-october-12/,https://i0.wp.com/beebom.com/wp-content/uploads/2018/10/4.-SteelSeries-Rival-110-62466-Optical-Gaming-Mouse.jpg?resize=640%2C382&ssl=1,0.053303804248571396,False,False,0.04053696617484093,BE7C0D,White,White,False,0,0,Jpeg,382,640
https://www.timeslifestyle.net/20181012/flipkart-and-amazons-festival-sale-offering-smartphones-with-great-discounts/,https://www.timeslifestyle.net/wp-content/uploads/2018/10/onenew-396525926_6-640x294.jpg,0.030600491911172867,False,False,0.02249346300959587,0A4B74,Black,Black,False,1,0,Jpeg,294,640
https://uproxx.com/tv/whats-on-tonight-the-romanoffs-amazon/,https://uproxx.files.wordpress.com/2018/10/181010-romanoffs-jpg.jpg?quality=95&w=650,0.030059771612286568,False,False,0.032907500863075256,2C2A26,White,Grey,False,0,0,Jpeg,360,650
http://www.businessofapps.com/pocket-to-add-amazon-alexa-skill-following-app-redesign/,http://www.businessofapps.com/wp-content/uploads/2018/10/pocket-redesign.jpeg,0.020313650369644165,False,False,0.014238232746720314,3A7091,White,White,False,0,0,Jpeg,327,720
https://www.msn.com/en-gb/entertainment/tv/blake-lively-eyeing-tv-return-for-secret-amazon-series/ar-BBOgbz0,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBOgbyX.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=473&y=297,0.011078095994889736,False,False,0.015904728323221207,3D4C59,White,Brown,False,1,0,Jpeg,315,600
https://www.cpcstrategy.com/blog/2018/10/amazon-holiday-calendar/,https://cdn-blog.cpcstrategy.com/wp-content/uploads/2018/10/11071538/EXHIBITION-40.png,0.04067196324467659,False,False,0.04147454723715782,C20925,Red,Red,False,0,0,Png,650,1200
https://www.bizjournals.com/seattle/news/2018/10/12/facebook-amazon-google-bellevue-kirkland-redmond.html,https://media.bizj.us/view/img/11088376/webcrecover*1200xx4650-2616-0-353.png,0.00726570887491107,False,False,0.00879672821611166,387393,White,White,False,0,0,Png,675,1200
https://www.cpcstrategy.com/blog/2018/10/what-is-the-amazon-accelerator-program/,https://cdn-blog.cpcstrategy.com/wp-content/uploads/2018/03/13124730/basic.jpg,0.01443022396415472,False,False,0.01700706221163273,085DB3,White,Blue,False,2,0,Jpeg,590,741
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,https://i1.wp.com/beebom.com/wp-content/uploads/2018/10/1.-HP-15-AMD-Ryzen-3.jpg?resize=640%2C391&ssl=1,0.01258490327745676,False,False,0.026325196027755737,0978C2,White,White,False,1,0,Jpeg,391,640
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,https://cdn.vox-cdn.com/thumbor/TmV9NBmuSRTWXg6hFcJ3dsi9YbA=/0x0:3000x2000/1200x800/filters:focal(1187x465:1667x945)/cdn.vox-cdn.com/uploads/chorus_image/image/61730903/488633883.jpg.0.jpg,0.013296744786202908,False,False,0.017402494326233864,653C2F,Black,Brown,False,0,0,Jpeg,800,1200
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,https://img.manoramaonline.com/content/dam/mm/en/business/news/images/2018/10/12/flipkart-amazon.jpg,0.018064012750983238,False,False,0.01578495465219021,BDA70E,Black,Blue,False,0,0,Jpeg,440,845
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,http://www.ironman.com/~/media/bd2bfadd58d846129643826947ed4d87/1810%20womens%20preview.jpg?w=740&h=370&c=1,0.0453791543841362,False,False,0.15450799465179443,BC1C0F,Grey,White,False,0,0,Jpeg,370,740
https://finance.yahoo.com/news/amazon-adds-wage-hike-worth-222237496.html,https://s.yimg.com/uu/api/res/1.2/e07YCmiuDO_ax0floSqP3w--~B/aD0xMDgwO3c9MTkyMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/gobankingrates_644/b340de14ac99fed92173a0fffa456690,0.008748097345232964,False,False,0.011923911981284618,B61528,Brown,Brown,False,0,0,Jpeg,1080,1920
https://www.tennisworldusa.org/tennis/news/UK_Tennis/61523/wimbledon-in-discussions-with-amazon-for-possible-deals-in-the-future/,https://www.tennisworldusa.org/imgb/66230/wimbledon-in-discussions-with-amazon-for-possible-deals-in-the-future.jpg,0.024773631244897842,False,False,0.04184575751423836,336198,Black,Black,False,0,0,Jpeg,565,848
http://www.tsgrp.com/2018/10/11/docfinity-migrating-to-amazon-s3/,http://www.tsgrp.com/wp-content/uploads/2018/10/2018_Docfinity-Migration.png,0.05239041522145271,False,False,0.05018358305096626,0085CC,Grey,Grey,False,1,0,Png,375,900
https://www.yahoo.com/news/usps-proposes-amazon-pay-12-173000498.html,https://s.yimg.com/uu/api/res/1.2/1ADfQcCXtBHrOtVvt7kyeQ--~B/aD0yMjU7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en-US/video/video.cnbc2.com/4dafb37dc3057c88d2511d06406e0198,0.013920306228101254,False,False,0.020108938217163086,663F3F,Black,White,False,0,0,Jpeg,225,400
https://www.carriermanagement.com/news/2018/10/11/185221.htm,https://www.carriermanagement.com/assets/bigstock-Concept-of-hiring-new-vacancy-94506827-300x150.jpg,0.06135370209813118,False,False,0.04653862491250038,CA7001,White,Grey,False,1,0,Jpeg,150,300
https://fox4kc.com/2018/10/11/amazon-deliveryman-watches-truck-roll-into-ku-students-car-before-driving-away/,https://localtvwdaf.files.wordpress.com/2018/10/promo363568632.jpg?quality=85&strip=all&w=1200,0.021807195618748665,False,False,0.01752311922609806,57804B,Green,Green,False,0,0,Jpeg,675,1200
