articleLink,imageLink,adultScore,isRacyContent,isAdultContent,racyScore,accentColor,dominantColorBackground,dominantColorForeground,isBwImg,clipArtType,lineDrawingType,format,height,width
https://www.i4u.com/2018/10/129678/israel-s-first-moon-mission-faces-delay,https://static1.i4u.com/sites/default/files/imagecache/main_image_large/images/2018/10/pod.jpg,0.04913626238703728,False,False,0.05149492993950844,1F3F69,Black,Grey,False,0,0,Jpeg,370,650
https://www.teslarati.com/spacex-airplane-like-falcon-9-reusability-goal-2018/,https://www.teslarati.com/wp-content/uploads/2018/05/F9-1046-liftoff-1-Tom-Cross-210x373.jpg,0.07816774398088455,False,False,0.26308584213256836,C58806,Grey,Grey,False,0,0,Jpeg,373,210
http://redgreenandblue.org/2018/10/12/lets-look-securities-violations-tesla-teslas-enemies-tons-data/,https://i2.wp.com/redgreenandblue.org/wp-content/uploads/2018/10/oct2.jpg?resize=600%2C208,0.026989463716745377,False,False,0.03311287239193916,9A3731,White,Green,False,1,0,Jpeg,208,600
https://www.voanews.com/a/russia-space-agency-astronauts-will-likely-fly-in-spring/4610552.html,https://gdb.voanews.com/5561FC8C-0173-4FBC-AC92-CE1455DF5C93_cx0_cy8_cw0_w250_r1_s.jpg,0.012812787666916847,False,False,0.014582308009266853,986933,Black,Black,False,0,0,Jpeg,141,250
http://nhltradereport.com/2018/10/12/astronauts-make-emergency-landing-after-escaping.html,http://img.rasset.ie/0010cd66-500.jpg,0.031276751309633255,False,False,0.038515958935022354,B38818,Teal,White,False,0,0,Jpeg,282,500
https://boingboing.net/2018/10/09/gorgeous-time-lapse-video-of-s.html,https://i1.wp.com/media.boingboing.net/wp-content/uploads/2018/10/product_23943_product_shots1_image.jpg?fit=600%2C450&ssl=1,0.08477460592985153,False,False,0.1535872220993042,91653A,Brown,White,False,0,0,Jpeg,450,599
http://wisdomsave.com/2018/10/12/hurricane-michael-before-and-after-photos-capture-utter.html,https://static.clubs.nfl.com/image/private/t_editorial_landscape_8_desktop_mobile/t_lazy/f_auto/giants/ivqsoj6qdk2dqtus0jvl.jpg,0.11060037463903427,False,False,0.29972171783447266,666666,Grey,White,True,0,0,Jpeg,464,824
https://www.newsoneplace.com/3431761809/proposals-academy-trusts-revealed,https://cnet1.cbsistatic.com/img/cpyb5R2nT63gasmV1uUDd2EBcv4=/300x230/2018/10/05/9979f3bd-2826-4346-b921-c409a6a7f33a/umbrella-academy-netflix.jpg,0.03568707033991814,False,False,0.035232458263635635,924A39,White,White,False,0,0,Jpeg,230,300
http://currenthollywood.com/2018/10/the-last-spacex-falcon-9-launch-left-spectacular-lights-in/,https://cdn.fstoppers.com/styles/large-16-9/s3/lead/2018/10/falcon-rocket-spacex-timelapse-launch.jpg,0.013409378007054329,False,False,0.018468299880623817,027BC9,Black,Blue,False,0,0,Jpeg,670,1184
http://wisdomsave.com/2018/10/12/russia-launches-criminal-probe-after-soyuz-rocket-fails.html,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/640/320/1862/1048/SCI-Astronauts.jpg,0.027834119275212288,False,False,0.026329822838306427,BB8A10,Black,Black,False,0,0,Jpeg,1048,1862
https://brightsblog.wordpress.com/2018/10/12/so-can-we-terraform-mars-or-not/,https://brightsblog.files.wordpress.com/2015/05/sunset_mars1.gif?w=640,0.021979613229632378,False,False,0.019650546833872795,41638A,Grey,Black,False,1,0,Gif,402,500
http://cybersecuritycaucus.com/2018/10/we-finally-know-when-true-detective-season-3-will-air/,https://pmcdeadline2.files.wordpress.com/2018/10/true-detective-season-3-c.jpeg,0.027422074228525162,False,False,0.023633966222405434,324864,Black,Black,False,0,0,Jpeg,1333,2000
https://www.yahoo.com/news/no-more-taxi-space-station-soyuz-failure-044734267.html,https://s.yimg.com/uu/api/res/1.2/EhLcrV9tho5XIs_qfa6Jaw--~B/aD0yMjY5O3c9MzQwNDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en_US/News/US-AFPRelax/000_6k48s.af980133223.original.jpg,0.034385960549116135,False,False,0.03203260153532028,7A6451,Grey,Black,False,0,0,Jpeg,2269,3404
https://abc7ny.com/science/us-russia-astronauts-safe-after-emergency-landing-/4459655/,https://cdns.abclocal.go.com/content/wabc/images/cms/101118-wabc-ap-astronauts-img.jpg,0.03172191604971886,False,False,0.02476418949663639,C89003,Teal,Black,False,0,0,Jpeg,720,1280
https://www.sltrib.com/news/nation-world/2018/10/11/astronauts-make-harrowing/,https://www.sltrib.com/resizer/id9urA3WOt6psNlflk9aD5PDoD8=/0x600/smart/filters:quality(5)/arc-anglerfish-arc2-prod-sltrib.s3.amazonaws.com/public/RROB5WOL35BWZPLMFIWOUYLCSI.jpg,0.014984340406954288,False,False,0.02453397400677204,A35C28,Grey,Grey,False,0,0,Jpeg,600,900
http://cybersecuritycaucus.com/2018/10/spacex-launches-satellite-makes-1st-successful-on-land/,https://i.gadgets360cdn.com/large/spacex_rocket_george_krieger_facebook_full_1539064375973.jpg,0.01388770155608654,False,False,0.023089464753866196,826749,Black,Black,False,0,0,Jpeg,451,800
http://techkenyot.com/2018/10/12/factors-beyond-producers-control-are-impacting-oil-market/,https://d32r1sh890xpii.cloudfront.net/tinymce/2018-10/1539109186-freenewsa.jpg,0.014113915152847767,False,False,0.017704080790281296,2B68A0,White,White,False,0,0,Jpeg,624,785
